548021|sub Y' pow x INT+ 2	mul div INT+ 1 INT+ 3 pow x INT+ 3
183681|sub Y' add x pow x INT+ 3	add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul div INT+ 1 INT+ 4 pow x INT+ 4
143325|sub Y' ln x	add mul INT- 1 x mul x ln x
84835|sub Y' add x ln x	add mul div INT+ 1 INT+ 2 pow x INT+ 2 add mul INT- 1 x mul x ln x
69739|sub Y' pow x div INT+ 5 INT+ 2	mul div INT+ 2 INT+ 7 pow x div INT+ 7 INT+ 2
50068|sub Y' mul INT+ 4 pow x INT- 1	mul INT+ 4 ln x
39804|sub Y' mul INT+ 9 pow x INT+ 2	mul INT+ 3 pow x INT+ 3
34036|sub Y' add x mul INT+ 5 pow x INT+ 2	add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul div INT+ 5 INT+ 3 pow x INT+ 3
29607|sub Y' ln pow x INT+ 3	add mul INT- 3 x mul x ln pow x INT+ 3
25433|sub Y' mul x add x mul INT- 1 pow x INT+ 2	add mul div INT- 1 INT+ 4 pow x INT+ 4 mul div INT+ 1 INT+ 3 pow x INT+ 3
21296|sub Y' add x acosh x	add mul div INT+ 1 INT+ 2 pow x INT+ 2 add mul INT- 1 sqrt add INT- 1 pow x INT+ 2 mul x acosh x
18506|sub Y' add mul INT+ 2 x atan x	add pow x INT+ 2 add mul div INT- 1 INT+ 2 ln add INT+ 1 pow x INT+ 2 mul x atan x
16605|sub Y' mul x sinh x	add mul INT- 1 sinh x mul x cosh x
14242|sub Y' add mul INT- 1 sin x mul INT+ 2 x	add pow x INT+ 2 cos x
12446|sub Y' add mul INT+ 2 x mul INT+ 2 pow x INT+ 3	add pow x INT+ 2 mul div INT+ 1 INT+ 2 pow x INT+ 4
11227|sub Y' mul x pow add x pow x INT+ 3 INT- 1	atan x
10159|sub Y' mul x add INT+ 1 mul INT+ 3 x	add pow x INT+ 3 mul div INT+ 1 INT+ 2 pow x INT+ 2
